2025-10-26 09:19:43 | INFO | ner_comparison | ================================================================================
2025-10-26 09:19:43 | INFO | ner_comparison | NER Model Comparison Experiments
2025-10-26 09:19:43 | INFO | ner_comparison | ================================================================================
2025-10-26 09:19:44 | INFO | ner_comparison | Device: cuda
2025-10-26 09:19:44 | INFO | ner_comparison | Loading data from data/processed
2025-10-26 09:19:44 | INFO | ner_comparison | Loading data from JSON files...
2025-10-26 09:19:48 | INFO | ner_comparison | Loaded 530448 sequences from MAG data
2025-10-26 09:19:48 | INFO | ner_comparison | Loaded 13560 FOT entities for balanced sampling
2025-10-26 09:19:48 | INFO | ner_comparison | Performing entity-level train/val/test split to prevent data leakage...
2025-10-26 09:19:48 | INFO | ner_comparison | ✓ Found entity field 'source_id' - using entity-level split
2025-10-26 09:19:49 | INFO | ner_comparison | Applying balanced sampling to train/val/test splits...
2025-10-26 09:47:02 | INFO | ner_comparison | After balancing: Train=141131, Val=16827, Test=18859 samples
2025-10-26 09:47:02 | INFO | ner_comparison | Creating NER datasets...
2025-10-26 09:47:40 | INFO | ner_comparison | Train: 141131, Val: 16827, Test: 18859
2025-10-26 09:47:40 | INFO | ner_comparison | 
================================================================================
2025-10-26 09:47:40 | INFO | ner_comparison | Model: patentNER
2025-10-26 09:47:40 | INFO | ner_comparison | Description: Full PatentNER with all features
2025-10-26 09:47:40 | INFO | ner_comparison | ================================================================================
2025-10-26 09:47:40 | INFO | ner_comparison | Creating PatentNER model...
2025-10-26 09:47:42 | INFO | ner_comparison | ✓ Found existing trained model: reports/models/patentNER_best_model.pth
2025-10-26 09:47:42 | INFO | ner_comparison |   Loading weights and skipping training for patentNER...
2025-10-26 09:47:43 | INFO | ner_comparison |   Loaded model with validation F1: 0.7162
2025-10-26 09:47:43 | INFO | ner_comparison | Evaluating patentNER...
2025-10-26 09:49:02 | INFO | ner_comparison | patentNER Results:
2025-10-26 09:49:02 | INFO | ner_comparison |   F1: 0.7350, Precision: 0.8101, Recall: 0.6727
2025-10-26 09:49:02 | INFO | ner_comparison |   FOT F1: 0.7598, FOT Precision: 0.8413, FOT Recall: 0.6927
2025-10-26 09:49:02 | INFO | ner_comparison |   Speed: 246.88 samples/sec
2025-10-26 09:49:02 | INFO | ner_comparison | ✓ patentNER complete: F1=0.7350, Precision=0.8101, Recall=0.6727
2025-10-26 09:49:02 | INFO | ner_comparison | 
================================================================================
2025-10-26 09:49:02 | INFO | ner_comparison | Model: patentNERnopos
2025-10-26 09:49:02 | INFO | ner_comparison | Description: Without POS-aware loss
2025-10-26 09:49:02 | INFO | ner_comparison | ================================================================================
2025-10-26 09:49:02 | INFO | ner_comparison | Creating PatentNER model...
2025-10-26 09:49:02 | INFO | ner_comparison | Disabling POS-aware weights (keep FOT boost)
2025-10-26 09:49:02 | INFO | ner_comparison | ✓ Found existing trained model: reports/models/patentNERnopos_best_model.pth
2025-10-26 09:49:02 | INFO | ner_comparison |   Loading weights and skipping training for patentNERnopos...
2025-10-26 09:49:03 | INFO | ner_comparison |   Loaded model with validation F1: 0.7089
2025-10-26 09:49:03 | INFO | ner_comparison | Evaluating patentNERnopos...
2025-10-26 09:50:21 | INFO | ner_comparison | patentNERnopos Results:
2025-10-26 09:50:21 | INFO | ner_comparison |   F1: 0.7261, Precision: 0.7823, Recall: 0.6775
2025-10-26 09:50:21 | INFO | ner_comparison |   FOT F1: 0.7594, FOT Precision: 0.8258, FOT Recall: 0.7029
2025-10-26 09:50:21 | INFO | ner_comparison |   Speed: 247.90 samples/sec
2025-10-26 09:50:21 | INFO | ner_comparison | ✓ patentNERnopos complete: F1=0.7261, Precision=0.7823, Recall=0.6775
2025-10-26 09:50:21 | INFO | ner_comparison | 
================================================================================
2025-10-26 09:50:21 | INFO | ner_comparison | Model: patentNER no customCRF
2025-10-26 09:50:21 | INFO | ner_comparison | Description: Without custom CRF constraints
2025-10-26 09:50:21 | INFO | ner_comparison | ================================================================================
2025-10-26 09:50:21 | INFO | ner_comparison | Creating PatentNER model...
2025-10-26 09:50:22 | INFO | ner_comparison | Disabling CustomCRF entirely - replacing with StandardCRF
2025-10-26 09:50:22 | INFO | ner_comparison | ✓ Found existing trained model: reports/models/patentNER no customCRF_best_model.pth
2025-10-26 09:50:22 | INFO | ner_comparison |   Loading weights and skipping training for patentNER no customCRF...
2025-10-26 09:50:23 | INFO | ner_comparison |   Loaded model with validation F1: 0.6573
2025-10-26 09:50:23 | INFO | ner_comparison | Evaluating patentNER no customCRF...
2025-10-26 09:50:49 | INFO | ner_comparison | patentNER no customCRF Results:
2025-10-26 09:50:49 | INFO | ner_comparison |   F1: 0.6781, Precision: 0.7297, Recall: 0.6333
2025-10-26 09:50:49 | INFO | ner_comparison |   FOT F1: 0.7426, FOT Precision: 0.8209, FOT Recall: 0.6780
2025-10-26 09:50:49 | INFO | ner_comparison |   Speed: 784.00 samples/sec
2025-10-26 09:50:49 | INFO | ner_comparison | ✓ patentNER no customCRF complete: F1=0.6781, Precision=0.7297, Recall=0.6333
2025-10-26 09:50:49 | INFO | ner_comparison | 
================================================================================
2025-10-26 09:50:49 | INFO | ner_comparison | Model: patentNERnofocalloss
2025-10-26 09:50:49 | INFO | ner_comparison | Description: Without focal loss
2025-10-26 09:50:49 | INFO | ner_comparison | ================================================================================
2025-10-26 09:50:49 | INFO | ner_comparison | Creating PatentNER model...
2025-10-26 09:50:49 | INFO | ner_comparison | Disabling focal loss
2025-10-26 09:50:49 | INFO | ner_comparison | ✓ Found existing trained model: reports/models/patentNERnofocalloss_best_model.pth
2025-10-26 09:50:49 | INFO | ner_comparison |   Loading weights and skipping training for patentNERnofocalloss...
2025-10-26 09:50:50 | INFO | ner_comparison |   Loaded model with validation F1: 0.7171
2025-10-26 09:50:50 | INFO | ner_comparison | Evaluating patentNERnofocalloss...
2025-10-26 09:52:09 | INFO | ner_comparison | patentNERnofocalloss Results:
2025-10-26 09:52:09 | INFO | ner_comparison |   F1: 0.7285, Precision: 0.7512, Recall: 0.7072
2025-10-26 09:52:09 | INFO | ner_comparison |   FOT F1: 0.7622, FOT Precision: 0.7908, FOT Recall: 0.7356
2025-10-26 09:52:09 | INFO | ner_comparison |   Speed: 247.14 samples/sec
2025-10-26 09:52:09 | INFO | ner_comparison | ✓ patentNERnofocalloss complete: F1=0.7285, Precision=0.7512, Recall=0.7072
